-14.2716	21.6579	-11.076	19.6994
-10.9694	11.1344	-6.27125	6.55552
-9.95819	13.3087	-4.26211	9.80418
-10.3702	11.1721	-5.15178	6.61942
-10.2635	10.2747	-4.93359	4.95676
-12.2537	10.0035	-8.31581	4.36697
-10.4521	10.688	-5.31482	5.76475
-10.6615	11.4754	-5.71563	7.1193
-15.0833	15.1602	-12.104	12.1997
-10.8632	11.1426	-6.08345	6.56937
-9.87018	13.909	-4.05221	10.6047
-15.0501	10.8548	-12.0626	6.06849
-15.42	11.2483	-12.521	6.74711
-19.3834	11.2644	-17.1673	6.77396
-10.2102	12.9646	-4.82165	9.33172
-26.5278	11.22	-24.9544	6.69981
-42.0227	26.0227	-41.0476	24.4168
-62.8288	23.7732	-62.1808	22.0038
-50.4881	99.4908	-49.6795	99.0829
