-31.5526	22.6258	-30.2418	20.7588
-23.0562	12.7704	-21.2271	9.06
-12.6081	15.2682	-8.82967	12.3336
-12.1359	18.1751	-8.14127	15.7903
-14.6933	13.4098	-11.6144	9.94097
-28.6548	12.1022	-27.2047	8.09087
-18.1918	10.9717	-15.8096	6.27521
-23.2324	22.3634	-21.4183	20.4725
-43.2457	28.3583	-42.2988	26.8922
-21.9045	33.9467	-19.9701	32.7319
-34.4781	26.0431	-33.2827	24.4385
-21.216	18.4548	-19.2124	16.1114
-12.635	15.4186	-8.86815	12.5193
-14.5436	16.0629	-11.4244	13.3048
-17.9365	13.2779	-15.5151	9.76229
-23.5984	28.6893	-21.8148	27.2411
-20.451	39.9064	-18.3642	38.8783
-19.4672	74.9081	-17.2618	74.3655
-62.5868	36.3207	-61.9363	35.188
-62.5868	36.3207	-61.9363	35.188
