	 	 p_{T}	 Yield Extraction 	 PID 	 chi2 gamma 	 reconst effi
0.5	13.4196	22.9589	17.7712	44.4684	
0.7	24.1428	18.273	11.7476	21.8702	
0.9	3.08062	9.57134	2.0664	7.80277	
1.1	10.4081	2.78724	3.11838	4.21176	
1.3	3.01485	3.5241	1.95095	4.82072	
1.5	3.06907	6.54826	3.10734	4.68829	
1.7	4.43687	3.97894	1.65226	2.87642	
1.9	4.54758	3.22908	0.361635	3.39817	
2.1	2.97904	3.85406	0.973847	2.52689	
2.3	3.33139	4.99468	1.75187	4.19299	
2.5	4.04579	4.748	2.98608	4.55833	
2.8	4.0795	3.37408	1.45495	2.23662	
3.25	3.28548	5.02157	2.51864	4.80445	
3.75	3.44484	9.17491	2.78883	4.84034	
4.5	5.90073	7.80665	3.34307	4.40862	
5.5	5.80262	7.31839	1.59401	4.27431	
7	8.75234	14.8659	1.17886	2.8132	
9	12.5499	33.2273	17.5678	34.0616	
11	16.978	10.2439	1.66744	3.5134	
