0.7	-9.78852	9.78852	-7.58864	7.58864
0.9	-8.63315	8.63315	-6.02525	6.02525
1.1	-7.66003	7.66003	-4.522	4.522
1.3	-7.66599	7.66599	-4.53209	4.53209
1.5	-7.47616	7.47616	-4.20302	4.20302
1.7	-7.59028	7.59028	-4.40282	4.40282
1.9	-8.02135	8.02135	-5.11023	5.11023
2.1	-7.82894	7.82894	-4.80257	4.80257
2.3	-7.82615	7.82615	-4.79802	4.79802
2.5	-7.56264	7.56264	-4.35499	4.35499
2.8	-7.55659	7.55659	-4.34448	4.34448
3.25	-8.10925	8.10925	-5.24712	5.24712
3.75	-7.76277	7.76277	-4.69393	4.69393
4.5	-8.11622	8.11622	-5.25789	5.25789
5.5	-9.90286	9.90286	-7.73557	7.73557
7	-9.55098	9.55098	-7.27967	7.27967
9	-11.8119	11.8119	-10.0645	10.0645
