0.9	-10.584	10.584	-7.87632	7.87632
1.1	-9.3005	9.3005	-6.04271	6.04271
1.3	-8.94027	8.94027	-5.47207	5.47207
1.5	-8.83208	8.83208	-5.29347	5.29347
1.7	-8.69287	8.69287	-5.05777	5.05777
1.9	-8.62015	8.62015	-4.93175	4.93175
2.1	-8.562	8.562	-4.82939	4.82939
2.3	-8.58879	8.58879	-4.87672	4.87672
2.5	-8.68572	8.68572	-5.04548	5.04548
2.8	-8.44355	8.44355	-4.61613	4.61613
3.25	-8.66793	8.66793	-5.01478	5.01478
3.75	-8.56014	8.56014	-4.82609	4.82609
4.5	-8.69774	8.69774	-5.06614	5.06614
5.5	-10.0486	10.0486	-7.14062	7.14062
7	-11.0161	11.0161	-8.44808	8.44808
9	-10.8821	10.8821	-8.27261	8.27261
11	-11.5938	11.5938	-9.1886	9.1886
