7	-16.8094	16.8094	-16.8094	16.8094
9	-17.2245	17.2245	-17.2245	17.2245
11	-18.0893	18.0893	-18.0893	18.0893
14	-20.0742	20.0742	-20.0742	20.0742
18	-24.0346	24.0346	-24.0346	24.0346
