	 	 p_{T}	 Yield Extraction 	 PID 	 chi2 gamma 	 reconst effi
0.5	8.4512	2.46845	2.26545	25.4541	
0.7	3.61843	3.45809	1.9905	4.86348	
0.9	3.17002	2.54433	1.03507	2.93231	
1.1	1.07334	1.46715	0.95398	2.39986	
1.3	1.54501	3.05114	0.423056	1.08024	
1.5	1.24756	3.55344	0.326936	0.831854	
1.7	2.01138	3.4793	0.468017	0.757004	
1.9	3.44284	5.63541	0.657737	0.823251	
2.1	3.31419	7.2519	0.290183	2.11074	
2.3	2.19328	6.74378	0.56825	1.18342	
2.5	1.54827	6.04526	0.482698	1.45573	
2.8	1.70863	7.88499	1.94915	3.04832	
3.25	1.38161	8.57273	1.28718	2.22993	
3.75	1.86248	10.3493	0.75459	2.89653	
4.5	1.93231	10.4589	1.2372	2.22855	
5.5	4.48882	14.899	3.15396	3.84906	
7	2.08613	10.8407	0.548387	1.33892	
9	15.2703	19.2956	2.75607	6.44271	
11	4.60751	60.4457	2.49538	12.6974	
