0.7	-9.39599	9.39599	-7.0751	7.0751
0.9	-8.60228	8.60228	-5.98094	5.98094
1.1	-8.15752	8.15752	-5.32142	5.32142
1.3	-7.53815	7.53815	-4.31232	4.31232
1.5	-7.61642	7.61642	-4.44772	4.44772
1.7	-7.85879	7.85879	-4.85109	4.85109
1.9	-7.5308	7.5308	-4.29946	4.29946
2.1	-7.54233	7.54233	-4.31963	4.31963
2.3	-7.81983	7.81983	-4.7877	4.7877
2.5	-7.62375	7.62375	-4.46026	4.46026
2.8	-8.00436	8.00436	-5.08352	5.08352
3.25	-7.93094	7.93094	-4.96711	4.96711
3.75	-8.05602	8.05602	-5.16448	5.16448
4.5	-8.02189	8.02189	-5.11108	5.11108
5.5	-9.85706	9.85706	-7.67685	7.67685
7	-9.8051	9.8051	-7.61002	7.61002
