	 	 p_{T}	 Yield Extraction 	 PID 	 chi2 gamma 	 reconst effi
0.5	4.0873	3.31281	9.59188	13.2889	
0.7	5.46737	2.44485	3.21495	3.72143	
0.9	7.21432	2.62785	0.645314	1.78941	
1.1	3.00537	0.808228	0.526592	1.48552	
1.3	3.61729	1.04659	1.07334	2.09056	
1.5	3.15584	2.56218	0.956737	1.60095	
1.7	2.7485	2.96278	0.813759	1.07504	
1.9	1.50432	3.83804	0.814881	1.20064	
2.1	0.684236	4.88066	1.04976	1.34364	
2.3	1.71624	5.69968	0.351616	1.12729	
2.5	1.76698	7.59229	1.33523	1.61537	
2.8	1.39293	5.6017	0.662647	1.3013	
3.25	2.07162	5.91273	0.383941	1.36571	
3.75	0.870792	7.57494	1.68061	2.12213	
4.5	1.24151	7.08909	0.701468	1.42738	
5.5	1.25873	8.29242	1.35522	1.4397	
7	5.40556	7.76257	4.71276	5.57201	
9	3.01666	12.6651	3.93007	9.7224	
11	15.8254	133.067	12.743	22.285	
